epoch,train_loss,val_loss,mean_kl,recon_loss
1,798.737771,773.237710,13.917867,743.066306
2,706.551375,711.397339,15.213495,645.697396
3,682.028623,688.356184,15.221762,621.141574
4,693.802819,674.786990,18.602628,619.392305
5,650.725675,656.902744,12.917852,599.054266
6,639.488788,673.333635,12.835010,588.148748
7,620.794543,609.571897,13.057966,568.562680
8,600.812141,590.076206,11.424638,555.113591
9,567.585827,631.110762,12.117698,519.115033
10,562.378235,617.648857,13.722023,507.490143
11,559.120085,613.368816,14.738117,500.167615
12,552.406542,748.469958,14.106713,495.979691
13,602.710982,797.755769,26.199359,497.913542
14,4515.295903,4544.515732,1004.350839,497.892490
15,3647.742737,1287.068306,769.585242,569.401763
16,951.122278,1371.431948,108.007434,519.092541
17,850.760623,967.882527,82.732493,519.830652
18,771.223992,992.574602,67.016111,503.159550
19,733.381318,1216.353191,58.012351,501.331917
20,733.901970,992.660415,57.248039,504.909812
21,684.003024,799.958608,49.051160,487.798383
22,680.316629,807.217703,47.341315,490.951372
23,661.068217,757.652676,44.811342,481.822846
24,656.195177,990.351143,43.803443,480.981405
25,679.266086,867.872578,46.993256,491.293062
26,662.325743,910.476184,43.949064,486.529486
27,650.259820,717.413777,41.631300,483.734620
28,635.136455,700.240215,38.618744,480.661479
29,640.384573,837.191765,39.069567,484.106303
30,636.069611,744.368557,39.504246,478.052626
31,612.565687,655.688972,34.135742,476.022722
32,605.884077,975.776167,31.948680,478.089358
33,606.226661,628.027070,32.700314,475.425409
34,567.833867,619.758865,25.008118,467.801394
35,544.571082,741.062556,20.367261,463.102040
36,544.095025,581.920901,19.156434,467.469289
37,533.592262,548.242766,16.258480,468.558342
38,524.954319,580.402681,15.409344,463.316941
39,529.246280,643.492639,15.795744,466.063302
40,528.628364,603.609846,16.592312,462.259116
41,511.033356,520.173203,13.342439,457.663599
42,500.658022,535.042809,12.491650,450.691424
43,502.711967,502.397871,12.414875,453.052469
44,502.827105,523.187321,12.400874,453.223609
45,505.796737,548.351709,12.419987,456.116789
46,501.266270,541.497639,12.450783,451.463137
47,499.850955,528.778135,12.718180,448.978236
48,497.016966,506.557838,12.502085,447.008628
49,492.847073,511.435455,11.870361,445.365628
50,494.830958,551.030249,12.159375,446.193458
51,496.851727,516.874832,13.060431,444.610005
52,494.877364,591.769054,12.719083,444.001031
53,491.349278,535.662327,12.371528,441.863165
54,490.626506,520.921490,12.190345,441.865124
55,491.408318,497.834128,12.300391,442.206752
56,490.946673,520.409087,12.850261,439.545629
57,486.736945,555.402328,12.426725,437.030043
58,487.848331,511.234567,12.973240,435.955370
59,488.425318,561.687008,12.561164,438.180665
60,487.047458,520.571333,13.234568,434.109189
